,date,teamAway,teamHome,attendance
7324,27/11/2016,Denver Nuggets,Phoenix Suns,15365
7325,27/11/2016,Houston Rockets,Portland Trail Blazers,19393
7326,26/11/2016,New York Knicks,Charlotte Hornets,19195
7327,26/11/2016,Minnesota Timberwolves,Golden State Warriors,19596
7328,26/11/2016,Memphis Grizzlies,Miami Heat,19600
7329,26/11/2016,Detroit Pistons,Oklahoma City Thunder,18203
7330,26/11/2016,San Antonio Spurs,Washington Wizards,17066
7331,25/11/2016,San Antonio Spurs,Boston Celtics,18624
7332,25/11/2016,Dallas Mavericks,Cleveland Cavaliers,20562
7333,25/11/2016,Oklahoma City Thunder,Denver Nuggets,14327
7334,25/11/2016,Los Angeles Clippers,Detroit Pistons,17023
7335,25/11/2016,Brooklyn Nets,Indiana Pacers,16083
7336,25/11/2016,Golden State Warriors,Los Angeles Lakers,18997
7337,25/11/2016,Miami Heat,Memphis Grizzlies,17222
7338,25/11/2016,Toronto Raptors,Milwaukee Bucks,16223
7339,25/11/2016,Charlotte Hornets,New York Knicks,19812
7340,25/11/2016,Washington Wizards,Orlando Magic,17103
7341,25/11/2016,Chicago Bulls,Philadelphia 76ers,18234
7342,25/11/2016,Minnesota Timberwolves,Phoenix Suns,16728
7343,25/11/2016,New Orleans Pelicans,Portland Trail Blazers,19393
7344,25/11/2016,Houston Rockets,Sacramento Kings,17608
7345,25/11/2016,Atlanta Hawks,Utah Jazz,19911
7346,23/11/2016,Boston Celtics,Brooklyn Nets,16210
7347,23/11/2016,San Antonio Spurs,Charlotte Hornets,18515
7348,23/11/2016,Portland Trail Blazers,Cleveland Cavaliers,20562
7349,23/11/2016,Los Angeles Clippers,Dallas Mavericks,20042
7350,23/11/2016,Miami Heat,Detroit Pistons,14520
7351,23/11/2016,Los Angeles Lakers,Golden State Warriors,19596
7352,23/11/2016,Toronto Raptors,Houston Rockets,18055
7353,23/11/2016,Atlanta Hawks,Indiana Pacers,16032
7354,23/11/2016,Minnesota Timberwolves,New Orleans Pelicans,15555
7355,23/11/2016,Phoenix Suns,Orlando Magic,17069
7356,23/11/2016,Memphis Grizzlies,Philadelphia 76ers,15880
7357,23/11/2016,Oklahoma City Thunder,Sacramento Kings,17608
7358,23/11/2016,Denver Nuggets,Utah Jazz,19229
7359,22/11/2016,New Orleans Pelicans,Atlanta Hawks,19120
7360,22/11/2016,Chicago Bulls,Denver Nuggets,14328
7361,22/11/2016,Oklahoma City Thunder,Los Angeles Lakers,18997
7362,22/11/2016,Portland Trail Blazers,New York Knicks,19812
7363,21/11/2016,Memphis Grizzlies,Charlotte Hornets,14181
7364,21/11/2016,Houston Rockets,Detroit Pistons,13632
7365,21/11/2016,Golden State Warriors,Indiana Pacers,17923
7366,21/11/2016,Toronto Raptors,Los Angeles Clippers,19060
7367,21/11/2016,Orlando Magic,Milwaukee Bucks,12306
7368,21/11/2016,Boston Celtics,Minnesota Timberwolves,13167
7369,21/11/2016,Miami Heat,Philadelphia 76ers,16477
7370,21/11/2016,Dallas Mavericks,San Antonio Spurs,18418
7371,21/11/2016,Phoenix Suns,Washington Wizards,12790
7372,20/11/2016,Portland Trail Blazers,Brooklyn Nets,16608
7373,20/11/2016,Utah Jazz,Denver Nuggets,12565
7374,20/11/2016,Chicago Bulls,Los Angeles Lakers,18997
7375,20/11/2016,Atlanta Hawks,New York Knicks,19812
7376,20/11/2016,Indiana Pacers,Oklahoma City Thunder,18203
7377,20/11/2016,Toronto Raptors,Sacramento Kings,17608
7378,19/11/2016,Boston Celtics,Detroit Pistons,16107
7379,19/11/2016,Utah Jazz,Houston Rockets,14760
7380,19/11/2016,Chicago Bulls,Los Angeles Clippers,19060
7381,19/11/2016,Minnesota Timberwolves,Memphis Grizzlies,17112
7382,19/11/2016,Golden State Warriors,Milwaukee Bucks,18717
7383,19/11/2016,Charlotte Hornets,New Orleans Pelicans,15739
7384,19/11/2016,Dallas Mavericks,Orlando Magic,18846
7385,19/11/2016,Phoenix Suns,Philadelphia 76ers,18125
7386,19/11/2016,Miami Heat,Washington Wizards,15848
7387,18/11/2016,Golden State Warriors,Boston Celtics,18624
7388,18/11/2016,Atlanta Hawks,Charlotte Hornets,17989
7389,18/11/2016,Detroit Pistons,Cleveland Cavaliers,20562
7390,18/11/2016,Memphis Grizzlies,Dallas Mavericks,19715
7391,18/11/2016,Toronto Raptors,Denver Nuggets,12476
7392,18/11/2016,Phoenix Suns,Indiana Pacers,16780
7393,18/11/2016,San Antonio Spurs,Los Angeles Lakers,18997
7394,18/11/2016,Portland Trail Blazers,New Orleans Pelicans,15552
7395,18/11/2016,Brooklyn Nets,Oklahoma City Thunder,18203
7396,18/11/2016,Los Angeles Clippers,Sacramento Kings,17608
7397,17/11/2016,Portland Trail Blazers,Houston Rockets,15550
7398,17/11/2016,Milwaukee Bucks,Miami Heat,19600
7399,17/11/2016,Philadelphia 76ers,Minnesota Timberwolves,16866
7400,17/11/2016,Chicago Bulls,Utah Jazz,19911
7401,17/11/2016,New York Knicks,Washington Wizards,16704
7402,16/11/2016,Milwaukee Bucks,Atlanta Hawks,14656
7403,16/11/2016,Dallas Mavericks,Boston Celtics,18624
7404,16/11/2016,Phoenix Suns,Denver Nuggets,10247
7405,16/11/2016,Cleveland Cavaliers,Indiana Pacers,17022
7406,16/11/2016,Memphis Grizzlies,Los Angeles Clippers,19060
7407,16/11/2016,Detroit Pistons,New York Knicks,19812
7408,16/11/2016,Houston Rockets,Oklahoma City Thunder,18203
7409,16/11/2016,New Orleans Pelicans,Orlando Magic,16127
7410,16/11/2016,Washington Wizards,Philadelphia 76ers,14863
7411,16/11/2016,San Antonio Spurs,Sacramento Kings,17608
7412,16/11/2016,Golden State Warriors,Toronto Raptors,21050
7413,15/11/2016,Toronto Raptors,Cleveland Cavaliers,20562
7414,15/11/2016,Brooklyn Nets,Los Angeles Lakers,18426
7415,15/11/2016,Atlanta Hawks,Miami Heat,19600
7416,15/11/2016,Charlotte Hornets,Minnesota Timberwolves,10349
7417,15/11/2016,Chicago Bulls,Portland Trail Blazers,19393
7418,14/11/2016,Oklahoma City Thunder,Detroit Pistons,14172
7419,14/11/2016,Philadelphia 76ers,Houston Rockets,13183
7420,14/11/2016,Orlando Magic,Indiana Pacers,14825
7421,14/11/2016,Brooklyn Nets,Los Angeles Clippers,19060
7422,14/11/2016,Boston Celtics,New Orleans Pelicans,15001
7423,14/11/2016,Dallas Mavericks,New York Knicks,19812
7424,14/11/2016,Miami Heat,San Antonio Spurs,18418
7425,14/11/2016,Memphis Grizzlies,Utah Jazz,18176
7426,13/11/2016,Charlotte Hornets,Cleveland Cavaliers,20562
7427,13/11/2016,Phoenix Suns,Golden State Warriors,19596
7428,13/11/2016,Los Angeles Lakers,Minnesota Timberwolves,14432
7429,13/11/2016,Orlando Magic,Oklahoma City Thunder,18203
7430,13/11/2016,Denver Nuggets,Portland Trail Blazers,19362
7431,12/11/2016,Philadelphia 76ers,Atlanta Hawks,17399
7432,12/11/2016,Washington Wizards,Chicago Bulls,21962
7433,12/11/2016,Detroit Pistons,Denver Nuggets,13997
7434,12/11/2016,San Antonio Spurs,Houston Rockets,18055
7435,12/11/2016,Boston Celtics,Indiana Pacers,17923
7436,12/11/2016,Utah Jazz,Miami Heat,19600
7437,12/11/2016,Memphis Grizzlies,Milwaukee Bucks,14327
7438,12/11/2016,Los Angeles Clippers,Minnesota Timberwolves,14494
7439,12/11/2016,Los Angeles Lakers,New Orleans Pelicans,17138
7440,12/11/2016,Brooklyn Nets,Phoenix Suns,17126
7441,12/11/2016,New York Knicks,Toronto Raptors,19800
7442,11/11/2016,New York Knicks,Boston Celtics,18624
7443,11/11/2016,Toronto Raptors,Charlotte Hornets,18107
7444,11/11/2016,Los Angeles Clippers,Oklahoma City Thunder,18203
7445,11/11/2016,Utah Jazz,Orlando Magic,18846
7446,11/11/2016,Indiana Pacers,Philadelphia 76ers,17643
7447,11/11/2016,Sacramento Kings,Portland Trail Blazers,19918
7448,11/11/2016,Detroit Pistons,San Antonio Spurs,18418
7449,11/11/2016,Cleveland Cavaliers,Washington Wizards,20356
7450,10/11/2016,Golden State Warriors,Denver Nuggets,17569
7451,10/11/2016,Chicago Bulls,Miami Heat,19600
7452,10/11/2016,New Orleans Pelicans,Milwaukee Bucks,12159
7453,10/11/2016,Los Angeles Lakers,Sacramento Kings,17608
7454,09/11/2016,Chicago Bulls,Atlanta Hawks,16354
7455,09/11/2016,Utah Jazz,Charlotte Hornets,15712
7456,09/11/2016,Dallas Mavericks,Golden State Warriors,19596
7457,09/11/2016,Philadelphia 76ers,Indiana Pacers,15360
7458,09/11/2016,Portland Trail Blazers,Los Angeles Clippers,19060
7459,09/11/2016,Brooklyn Nets,New York Knicks,19812
7460,09/11/2016,Toronto Raptors,Oklahoma City Thunder,18203
7461,09/11/2016,Minnesota Timberwolves,Orlando Magic,17102
7462,09/11/2016,Detroit Pistons,Phoenix Suns,16719
7463,09/11/2016,Houston Rockets,San Antonio Spurs,18418
7464,09/11/2016,Boston Celtics,Washington Wizards,12675
7465,08/11/2016,Minnesota Timberwolves,Brooklyn Nets,13610
7466,08/11/2016,Atlanta Hawks,Cleveland Cavaliers,20562
7467,08/11/2016,Dallas Mavericks,Los Angeles Lakers,18997
7468,08/11/2016,Denver Nuggets,Memphis Grizzlies,15109
7469,08/11/2016,Phoenix Suns,Portland Trail Blazers,19239
7470,08/11/2016,New Orleans Pelicans,Sacramento Kings,17608
7471,07/11/2016,Orlando Magic,Chicago Bulls,21320
7472,07/11/2016,Indiana Pacers,Charlotte Hornets,16880
7473,07/11/2016,New Orleans Pelicans,Golden State Warriors,19596
7474,07/11/2016,Detroit Pistons,Los Angeles Clippers,19060
7475,07/11/2016,Miami Heat,Oklahoma City Thunder,18203
7476,07/11/2016,Utah Jazz,Philadelphia 76ers,14168
7477,07/11/2016,Houston Rockets,Washington Wizards,13173
7478,06/11/2016,Denver Nuggets,Boston Celtics,17452
7479,06/11/2016,Milwaukee Bucks,Dallas Mavericks,19345
7480,06/11/2016,Phoenix Suns,Los Angeles Lakers,18997
7481,06/11/2016,Portland Trail Blazers,Memphis Grizzlies,16233
7482,06/11/2016,Utah Jazz,New York Knicks,19812
7483,06/11/2016,Sacramento Kings,Toronto Raptors,19800
7484,05/11/2016,Houston Rockets,Atlanta Hawks,16895
7485,05/11/2016,Denver Nuggets,Detroit Pistons,16218
7486,05/11/2016,Chicago Bulls,Indiana Pacers,17020
7487,05/11/2016,Sacramento Kings,Milwaukee Bucks,16021
7488,05/11/2016,Minnesota Timberwolves,Oklahoma City Thunder,18203
7489,05/11/2016,Washington Wizards,Orlando Magic,18846
7490,05/11/2016,Cleveland Cavaliers,Philadelphia 76ers,20497
7491,05/11/2016,Los Angeles Clippers,San Antonio Spurs,18418
7492,04/11/2016,Charlotte Hornets,Brooklyn Nets,15775
7493,04/11/2016,New York Knicks,Chicago Bulls,22376
7494,04/11/2016,Portland Trail Blazers,Dallas Mavericks,19475
7495,04/11/2016,Golden State Warriors,Los Angeles Lakers,18997
7496,04/11/2016,Los Angeles Clippers,Memphis Grizzlies,17115
7497,04/11/2016,Phoenix Suns,New Orleans Pelicans,15379
7498,04/11/2016,Miami Heat,Toronto Raptors,19800
7499,04/11/2016,San Antonio Spurs,Utah Jazz,19911
7500,04/11/2016,Atlanta Hawks,Washington Wizards,14663
7501,03/11/2016,Boston Celtics,Cleveland Cavaliers,20562
7502,03/11/2016,Oklahoma City Thunder,Golden State Warriors,19596
7503,03/11/2016,Indiana Pacers,Milwaukee Bucks,11374
7504,03/11/2016,Denver Nuggets,Minnesota Timberwolves,11219
7505,03/11/2016,Sacramento Kings,Orlando Magic,17026
7506,02/11/2016,Los Angeles Lakers,Atlanta Hawks,13800
7507,02/11/2016,Chicago Bulls,Boston Celtics,18624
7508,02/11/2016,Detroit Pistons,Brooklyn Nets,13650
7509,02/11/2016,Philadelphia 76ers,Charlotte Hornets,15275
7510,02/11/2016,Oklahoma City Thunder,Los Angeles Clippers,19060
7511,02/11/2016,New Orleans Pelicans,Memphis Grizzlies,15881
7512,02/11/2016,Houston Rockets,New York Knicks,19812
7513,02/11/2016,Portland Trail Blazers,Phoenix Suns,17284
7514,02/11/2016,Dallas Mavericks,Utah Jazz,19318
7515,02/11/2016,Toronto Raptors,Washington Wizards,19581
7516,01/11/2016,Houston Rockets,Cleveland Cavaliers,20562
7517,01/11/2016,New York Knicks,Detroit Pistons,13087
7518,01/11/2016,Los Angeles Lakers,Indiana Pacers,15348
7519,01/11/2016,Sacramento Kings,Miami Heat,19612
7520,01/11/2016,Memphis Grizzlies,Minnesota Timberwolves,14774
7521,01/11/2016,Milwaukee Bucks,New Orleans Pelicans,15515
7522,01/11/2016,Orlando Magic,Philadelphia 76ers,12529
7523,01/11/2016,Golden State Warriors,Portland Trail Blazers,19393
7524,01/11/2016,Utah Jazz,San Antonio Spurs,18418
7525,31/10/2016,Sacramento Kings,Atlanta Hawks,12501
7526,31/10/2016,Chicago Bulls,Brooklyn Nets,15842
7527,31/10/2016,Phoenix Suns,Los Angeles Clippers,19060
7528,31/10/2016,Denver Nuggets,Toronto Raptors,19800
7529,30/10/2016,Milwaukee Bucks,Detroit Pistons,15161
7530,30/10/2016,Dallas Mavericks,Houston Rockets,18055
7531,30/10/2016,Utah Jazz,Los Angeles Clippers,19060
7532,30/10/2016,Washington Wizards,Memphis Grizzlies,15573
7533,30/10/2016,San Antonio Spurs,Miami Heat,19678
7534,30/10/2016,Los Angeles Lakers,Oklahoma City Thunder,18203
7535,30/10/2016,Golden State Warriors,Phoenix Suns,17011
7536,29/10/2016,Indiana Pacers,Chicago Bulls,21373
7537,29/10/2016,Boston Celtics,Charlotte Hornets,18708
7538,29/10/2016,Orlando Magic,Cleveland Cavaliers,20562
7539,29/10/2016,Portland Trail Blazers,Denver Nuggets,18055
7540,29/10/2016,Brooklyn Nets,Milwaukee Bucks,12570
7541,29/10/2016,Memphis Grizzlies,New York Knicks,19812
7542,29/10/2016,Atlanta Hawks,Philadelphia 76ers,16312
7543,29/10/2016,Minnesota Timberwolves,Sacramento Kings,17608
7544,29/10/2016,New Orleans Pelicans,San Antonio Spurs,18418
7545,28/10/2016,Indiana Pacers,Brooklyn Nets,17732
7546,28/10/2016,Houston Rockets,Dallas Mavericks,20163
7547,28/10/2016,Orlando Magic,Detroit Pistons,19122
7548,28/10/2016,Charlotte Hornets,Miami Heat,19600
7549,28/10/2016,Golden State Warriors,New Orleans Pelicans,18217
7550,28/10/2016,Phoenix Suns,Oklahoma City Thunder,18203
7551,28/10/2016,Cleveland Cavaliers,Toronto Raptors,19800
7552,28/10/2016,Los Angeles Lakers,Utah Jazz,19911
7553,27/10/2016,Washington Wizards,Atlanta Hawks,19049
7554,27/10/2016,Boston Celtics,Chicago Bulls,21501
7555,27/10/2016,Los Angeles Clippers,Portland Trail Blazers,19500
7556,27/10/2016,San Antonio Spurs,Sacramento Kings,17608
7557,26/10/2016,Brooklyn Nets,Boston Celtics,18624
7558,26/10/2016,Dallas Mavericks,Indiana Pacers,17923
7559,26/10/2016,Houston Rockets,Los Angeles Lakers,18997
7560,26/10/2016,Minnesota Timberwolves,Memphis Grizzlies,18119
7561,26/10/2016,Charlotte Hornets,Milwaukee Bucks,18717
7562,26/10/2016,Denver Nuggets,New Orleans Pelicans,15869
7563,26/10/2016,Miami Heat,Orlando Magic,19298
7564,26/10/2016,Oklahoma City Thunder,Philadelphia 76ers,20487
7565,26/10/2016,Sacramento Kings,Phoenix Suns,18055
7566,26/10/2016,Detroit Pistons,Toronto Raptors,19800
7567,25/10/2016,New York Knicks,Cleveland Cavaliers,20562
7568,25/10/2016,San Antonio Spurs,Golden State Warriors,19596
7569,25/10/2016,Utah Jazz,Portland Trail Blazers,19446
7570,19/06/2016,Cleveland Cavaliers,Golden State Warriors,19596
7571,16/06/2016,Golden State Warriors,Cleveland Cavaliers,20562
7572,13/06/2016,Cleveland Cavaliers,Golden State Warriors,19596
7573,10/06/2016,Golden State Warriors,Cleveland Cavaliers,20562
7574,08/06/2016,Golden State Warriors,Cleveland Cavaliers,20562
7575,05/06/2016,Cleveland Cavaliers,Golden State Warriors,19596
7576,02/06/2016,Cleveland Cavaliers,Golden State Warriors,19596
7577,30/05/2016,Oklahoma City Thunder,Golden State Warriors,19596
7578,28/05/2016,Golden State Warriors,Oklahoma City Thunder,18203
7579,27/05/2016,Cleveland Cavaliers,Toronto Raptors,20605
7580,26/05/2016,Oklahoma City Thunder,Golden State Warriors,19596
7581,25/05/2016,Toronto Raptors,Cleveland Cavaliers,20562
7582,24/05/2016,Golden State Warriors,Oklahoma City Thunder,18203
7583,23/05/2016,Cleveland Cavaliers,Toronto Raptors,20367
7584,22/05/2016,Golden State Warriors,Oklahoma City Thunder,18203
7585,21/05/2016,Cleveland Cavaliers,Toronto Raptors,20207
7586,19/05/2016,Toronto Raptors,Cleveland Cavaliers,20562
7587,18/05/2016,Oklahoma City Thunder,Golden State Warriors,19596
7588,17/05/2016,Toronto Raptors,Cleveland Cavaliers,20562
7589,16/05/2016,Oklahoma City Thunder,Golden State Warriors,19596
7590,15/05/2016,Miami Heat,Toronto Raptors,20257
7591,13/05/2016,Toronto Raptors,Miami Heat,19757
7592,12/05/2016,San Antonio Spurs,Oklahoma City Thunder,18203
7593,11/05/2016,Portland Trail Blazers,Golden State Warriors,19596
7594,11/05/2016,Miami Heat,Toronto Raptors,20155
7595,10/05/2016,Oklahoma City Thunder,San Antonio Spurs,18418
7596,09/05/2016,Toronto Raptors,Miami Heat,19600
7597,09/05/2016,Golden State Warriors,Portland Trail Blazers,19583
7598,08/05/2016,Cleveland Cavaliers,Atlanta Hawks,19031
7599,08/05/2016,San Antonio Spurs,Oklahoma City Thunder,18203
7600,07/05/2016,Toronto Raptors,Miami Heat,19675
7601,07/05/2016,Golden State Warriors,Portland Trail Blazers,19673
7602,06/05/2016,Cleveland Cavaliers,Atlanta Hawks,19089
7603,06/05/2016,San Antonio Spurs,Oklahoma City Thunder,18203
7604,05/05/2016,Miami Heat,Toronto Raptors,20906
7605,04/05/2016,Atlanta Hawks,Cleveland Cavaliers,20562
7606,03/05/2016,Portland Trail Blazers,Golden State Warriors,19596
7607,03/05/2016,Miami Heat,Toronto Raptors,19800
7608,02/05/2016,Atlanta Hawks,Cleveland Cavaliers,20562
7609,02/05/2016,Oklahoma City Thunder,San Antonio Spurs,18418
7610,01/05/2016,Portland Trail Blazers,Golden State Warriors,19596
7611,01/05/2016,Charlotte Hornets,Miami Heat,19868
7612,01/05/2016,Indiana Pacers,Toronto Raptors,20669
7613,30/04/2016,Oklahoma City Thunder,San Antonio Spurs,18418
7614,29/04/2016,Miami Heat,Charlotte Hornets,19636
7615,29/04/2016,Toronto Raptors,Indiana Pacers,18165
7616,29/04/2016,Los Angeles Clippers,Portland Trail Blazers,19768
7617,28/04/2016,Atlanta Hawks,Boston Celtics,18624
7618,27/04/2016,Houston Rockets,Golden State Warriors,19596
7619,27/04/2016,Portland Trail Blazers,Los Angeles Clippers,19060
7620,27/04/2016,Charlotte Hornets,Miami Heat,19685
7621,26/04/2016,Boston Celtics,Atlanta Hawks,18987
7622,26/04/2016,Indiana Pacers,Toronto Raptors,19800
7623,25/04/2016,Miami Heat,Charlotte Hornets,19156
7624,25/04/2016,Dallas Mavericks,Oklahoma City Thunder,18203
7625,25/04/2016,Los Angeles Clippers,Portland Trail Blazers,19607
7626,24/04/2016,Atlanta Hawks,Boston Celtics,18624
7627,24/04/2016,Cleveland Cavaliers,Detroit Pistons,21584
7628,24/04/2016,Golden State Warriors,Houston Rockets,18200
7629,24/04/2016,San Antonio Spurs,Memphis Grizzlies,18119
7630,23/04/2016,Miami Heat,Charlotte Hornets,19604
7631,23/04/2016,Oklahoma City Thunder,Dallas Mavericks,20516
7632,23/04/2016,Toronto Raptors,Indiana Pacers,18165
7633,23/04/2016,Los Angeles Clippers,Portland Trail Blazers,19761
7634,22/04/2016,Atlanta Hawks,Boston Celtics,18624
7635,22/04/2016,Cleveland Cavaliers,Detroit Pistons,21584
7636,22/04/2016,San Antonio Spurs,Memphis Grizzlies,18119
7637,21/04/2016,Oklahoma City Thunder,Dallas Mavericks,20150
7638,21/04/2016,Golden State Warriors,Houston Rockets,18200
7639,21/04/2016,Toronto Raptors,Indiana Pacers,18165
7640,20/04/2016,Detroit Pistons,Cleveland Cavaliers,20562
7641,20/04/2016,Portland Trail Blazers,Los Angeles Clippers,19127
7642,20/04/2016,Charlotte Hornets,Miami Heat,19650
7643,19/04/2016,Boston Celtics,Atlanta Hawks,18972
7644,19/04/2016,Memphis Grizzlies,San Antonio Spurs,18418
7645,18/04/2016,Houston Rockets,Golden State Warriors,19596
7646,18/04/2016,Dallas Mavericks,Oklahoma City Thunder,18203
7647,18/04/2016,Indiana Pacers,Toronto Raptors,19800
7648,17/04/2016,Detroit Pistons,Cleveland Cavaliers,20562
7649,17/04/2016,Portland Trail Blazers,Los Angeles Clippers,19122
7650,17/04/2016,Charlotte Hornets,Miami Heat,19600
7651,17/04/2016,Memphis Grizzlies,San Antonio Spurs,18418
7652,16/04/2016,Boston Celtics,Atlanta Hawks,18980
7653,16/04/2016,Houston Rockets,Golden State Warriors,19596
7654,16/04/2016,Dallas Mavericks,Oklahoma City Thunder,18203
7655,16/04/2016,Indiana Pacers,Toronto Raptors,19800
7656,13/04/2016,Miami Heat,Boston Celtics,18624
7657,13/04/2016,Toronto Raptors,Brooklyn Nets,16517
7658,13/04/2016,Philadelphia 76ers,Chicago Bulls,21777
7659,13/04/2016,Orlando Magic,Charlotte Hornets,17372
7660,13/04/2016,Detroit Pistons,Cleveland Cavaliers,20562
7661,13/04/2016,San Antonio Spurs,Dallas Mavericks,20346
7662,13/04/2016,Memphis Grizzlies,Golden State Warriors,19596
7663,13/04/2016,Sacramento Kings,Houston Rockets,18311
7664,13/04/2016,Utah Jazz,Los Angeles Lakers,18997
7665,13/04/2016,Indiana Pacers,Milwaukee Bucks,16569
7666,13/04/2016,New Orleans Pelicans,Minnesota Timberwolves,14889
7667,13/04/2016,Los Angeles Clippers,Phoenix Suns,18055
7668,13/04/2016,Denver Nuggets,Portland Trail Blazers,19571
7669,13/04/2016,Atlanta Hawks,Washington Wizards,17399
7670,12/04/2016,Miami Heat,Detroit Pistons,18575
7671,12/04/2016,New York Knicks,Indiana Pacers,17906
7672,12/04/2016,Memphis Grizzlies,Los Angeles Clippers,19147
7673,12/04/2016,Oklahoma City Thunder,San Antonio Spurs,18765
7674,12/04/2016,Philadelphia 76ers,Toronto Raptors,19800
7675,11/04/2016,Charlotte Hornets,Boston Celtics,18624
7676,11/04/2016,Washington Wizards,Brooklyn Nets,14653
7677,11/04/2016,Atlanta Hawks,Cleveland Cavaliers,20562
7678,11/04/2016,Houston Rockets,Minnesota Timberwolves,14983
7679,11/04/2016,Chicago Bulls,New Orleans Pelicans,16867
7680,11/04/2016,Los Angeles Lakers,Oklahoma City Thunder,18203
7681,11/04/2016,Milwaukee Bucks,Orlando Magic,18374
7682,11/04/2016,Sacramento Kings,Phoenix Suns,17288
7683,11/04/2016,Dallas Mavericks,Utah Jazz,19911
7684,10/04/2016,Utah Jazz,Denver Nuggets,16172
7685,10/04/2016,Los Angeles Lakers,Houston Rockets,18442
7686,10/04/2016,Brooklyn Nets,Indiana Pacers,18165
7687,10/04/2016,Dallas Mavericks,Los Angeles Clippers,19170
7688,10/04/2016,Orlando Magic,Miami Heat,19913
7689,10/04/2016,Toronto Raptors,New York Knicks,19812
7690,10/04/2016,Milwaukee Bucks,Philadelphia 76ers,16267
7691,10/04/2016,Golden State Warriors,San Antonio Spurs,18658
7692,10/04/2016,Charlotte Hornets,Washington Wizards,19187
7693,09/04/2016,Boston Celtics,Atlanta Hawks,19257
7694,09/04/2016,Cleveland Cavaliers,Chicago Bulls,22186
7695,09/04/2016,Golden State Warriors,Memphis Grizzlies,18119
7696,09/04/2016,Phoenix Suns,New Orleans Pelicans,16932
7697,09/04/2016,Minnesota Timberwolves,Portland Trail Blazers,19733
7698,09/04/2016,Oklahoma City Thunder,Sacramento Kings,17317
7699,08/04/2016,Milwaukee Bucks,Boston Celtics,18624
7700,08/04/2016,Brooklyn Nets,Charlotte Hornets,18337
7701,08/04/2016,Memphis Grizzlies,Dallas Mavericks,20211
7702,08/04/2016,San Antonio Spurs,Denver Nuggets,16347
7703,08/04/2016,Washington Wizards,Detroit Pistons,18207
7704,08/04/2016,Los Angeles Lakers,New Orleans Pelicans,18607
7705,08/04/2016,Miami Heat,Orlando Magic,18152
7706,08/04/2016,New York Knicks,Philadelphia 76ers,16076
7707,08/04/2016,Indiana Pacers,Toronto Raptors,19800
7708,08/04/2016,Los Angeles Clippers,Utah Jazz,19911
7709,07/04/2016,Toronto Raptors,Atlanta Hawks,17864
7710,07/04/2016,San Antonio Spurs,Golden State Warriors,19596
7711,07/04/2016,Phoenix Suns,Houston Rockets,18227
7712,07/04/2016,Chicago Bulls,Miami Heat,19771
7713,07/04/2016,Minnesota Timberwolves,Sacramento Kings,17317
7714,06/04/2016,New Orleans Pelicans,Boston Celtics,18624
7715,06/04/2016,Houston Rockets,Dallas Mavericks,20108
7716,06/04/2016,Cleveland Cavaliers,Indiana Pacers,18165
7717,06/04/2016,Los Angeles Clippers,Los Angeles Lakers,18997
7718,06/04/2016,Charlotte Hornets,New York Knicks,19812
7719,06/04/2016,Detroit Pistons,Orlando Magic,16553
7720,06/04/2016,Oklahoma City Thunder,Portland Trail Blazers,19393
7721,06/04/2016,Brooklyn Nets,Washington Wizards,16846
7722,05/04/2016,Phoenix Suns,Atlanta Hawks,15176
7723,05/04/2016,Oklahoma City Thunder,Denver Nuggets,12611
7724,05/04/2016,Minnesota Timberwolves,Golden State Warriors,19596
7725,05/04/2016,Los Angeles Lakers,Los Angeles Clippers,19537
7726,05/04/2016,Chicago Bulls,Memphis Grizzlies,17591
7727,05/04/2016,Detroit Pistons,Miami Heat,19621
7728,05/04/2016,Cleveland Cavaliers,Milwaukee Bucks,15061
7729,05/04/2016,New Orleans Pelicans,Philadelphia 76ers,10978
7730,05/04/2016,Portland Trail Blazers,Sacramento Kings,17317
7731,05/04/2016,Charlotte Hornets,Toronto Raptors,19800
7732,05/04/2016,San Antonio Spurs,Utah Jazz,19381
7733,03/04/2016,New Orleans Pelicans,Brooklyn Nets,16329
7734,03/04/2016,Charlotte Hornets,Cleveland Cavaliers,20562
7735,03/04/2016,Portland Trail Blazers,Golden State Warriors,19596
7736,03/04/2016,Oklahoma City Thunder,Houston Rockets,18462
7737,03/04/2016,Washington Wizards,Los Angeles Clippers,19060
7738,03/04/2016,Boston Celtics,Los Angeles Lakers,18997
7739,03/04/2016,Chicago Bulls,Milwaukee Bucks,15768
7740,03/04/2016,Dallas Mavericks,Minnesota Timberwolves,16117
7741,03/04/2016,Indiana Pacers,New York Knicks,19812
7742,03/04/2016,Memphis Grizzlies,Orlando Magic,17741
7743,03/04/2016,Utah Jazz,Phoenix Suns,17279
7744,02/04/2016,Detroit Pistons,Chicago Bulls,22197
7745,02/04/2016,Sacramento Kings,Denver Nuggets,15607
7746,02/04/2016,Indiana Pacers,Philadelphia 76ers,19213
7747,02/04/2016,Miami Heat,Portland Trail Blazers,19633
7748,02/04/2016,Toronto Raptors,San Antonio Spurs,18418
7749,01/04/2016,Cleveland Cavaliers,Atlanta Hawks,19427
7750,01/04/2016,Philadelphia 76ers,Charlotte Hornets,19244
7751,01/04/2016,Dallas Mavericks,Detroit Pistons,19031
7752,01/04/2016,Boston Celtics,Golden State Warriors,19596
7753,01/04/2016,Toronto Raptors,Memphis Grizzlies,17077
7754,01/04/2016,Orlando Magic,Milwaukee Bucks,16268
